age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
25.0,b'Private',226802.0,b'11th',7.0,b'Never-married',b'Machine-op-inspct',b'Own-child',b'Black',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
38.0,b'Private',89814.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Farming-fishing',b'Husband',b'White',b'Male',0.0,0.0,50.0,b'United-States',b'<=50K'
28.0,b'Local-gov',336951.0,b'Assoc-acdm',12.0,b'Married-civ-spouse',b'Protective-serv',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'>50K'
44.0,b'Private',160323.0,b'Some-college',10.0,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'Black',b'Male',7688.0,0.0,40.0,b'United-States',b'>50K'
18.0,b'?',103497.0,b'Some-college',10.0,b'Never-married',b'?',b'Own-child',b'White',b'Female',0.0,0.0,30.0,b'United-States',b'<=50K'
34.0,b'Private',198693.0,b'10th',6.0,b'Never-married',b'Other-service',b'Not-in-family',b'White',b'Male',0.0,0.0,30.0,b'United-States',b'<=50K'
29.0,b'?',227026.0,b'HS-grad',9.0,b'Never-married',b'?',b'Unmarried',b'Black',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
63.0,b'Self-emp-not-inc',104626.0,b'Prof-school',15.0,b'Married-civ-spouse',b'Prof-specialty',b'Husband',b'White',b'Male',3103.0,0.0,32.0,b'United-States',b'>50K'
24.0,b'Private',369667.0,b'Some-college',10.0,b'Never-married',b'Other-service',b'Unmarried',b'White',b'Female',0.0,0.0,40.0,b'United-States',b'<=50K'
55.0,b'Private',104996.0,b'7th-8th',4.0,b'Married-civ-spouse',b'Craft-repair',b'Husband',b'White',b'Male',0.0,0.0,10.0,b'United-States',b'<=50K'
65.0,b'Private',184454.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'White',b'Male',6418.0,0.0,40.0,b'United-States',b'>50K'
36.0,b'Federal-gov',212465.0,b'Bachelors',13.0,b'Married-civ-spouse',b'Adm-clerical',b'Husband',b'White',b'Male',0.0,0.0,40.0,b'United-States',b'<=50K'
26.0,b'Private',82091.0,b'HS-grad',9.0,b'Never-married',b'Adm-clerical',b'Not-in-family',b'White',b'Female',0.0,0.0,39.0,b'United-States',b'<=50K'
58.0,b'?',299831.0,b'HS-grad',9.0,b'Married-civ-spouse',b'?',b'Husband',b'White',b'Male',0.0,0.0,35.0,b'United-States',b'<=50K'
48.0,b'Private',279724.0,b'HS-grad',9.0,b'Married-civ-spouse',b'Machine-op-inspct',b'Husband',b'White',b'Male',3103.0,0.0,48.0,b'United-States',b'>50K'
43.0,b'Private',346189.0,b'Masters',14.0,b'Married-civ-spouse',b'Exec-managerial',b'Husband',b'White',b'Male',0.0,0.0,50.0,b'United-States',b'>50K'
20.0,b'State-gov',444554.0,b'Some-college',10.0,b'Never-married',b'Other-service',b'Own-child',b'White',b'Male',0.0,0.0,25.0,b'United-States',b'<=50K'
